Date,Won,Crimes
2014-04-05,0,249
2014-04-06,0,279
2014-04-07,1,239
2014-04-08,1,258
2014-04-09,0,218
2014-04-10,1,312
2014-04-11,1,246
2014-04-12,1,224
2014-04-13,0,219
2014-04-14,1,274
2014-04-15,0,236
2014-04-16,1,215
2014-04-17,1,251
2014-04-18,0,270
2014-04-19,1,220
2014-04-20,0,191
2014-04-21,0,241
2014-04-22,0,221
2014-04-23,1,223
2014-04-24,0,254
2014-04-25,1,261
2014-04-26,1,235
2014-04-27,0,223
2014-04-28,1,242
2014-04-29,1,247
2014-04-30,1,227
2014-05-01,1,172
2014-05-02,1,185
2014-05-03,1,233
2014-05-04,0,205
2014-05-05,1,270
2014-05-06,1,267
2014-05-07,1,219
2014-05-08,0,248
2014-05-09,0,305
2014-05-10,1,206
2014-05-11,1,221
2014-05-12,1,241
2014-05-13,0,268
2014-05-14,1,281
2014-05-15,0,279
2014-05-16,0,299
2014-05-17,0,275
2014-05-18,0,250
2014-05-19,1,285
2014-05-20,0,300
2014-05-21,0,272
2014-05-22,0,272
2014-05-23,0,284
2014-05-24,0,246
2014-05-25,0,254
2014-05-26,1,208
2014-05-27,1,255
2014-05-28,1,248
2014-05-29,0,263
2014-05-30,0,319
2014-05-31,1,278
2014-06-01,1,261
2014-06-02,1,230
2014-06-03,1,257
2014-06-04,0,199
2014-06-05,0,259
2014-06-06,0,313
2014-06-07,0,214
2014-06-08,1,235
2014-06-09,1,280
2014-06-10,1,244
2014-06-11,1,226
2014-06-12,1,221
2014-06-13,1,283
2014-06-14,0,256
2014-06-15,0,222
2014-06-16,1,248
2014-06-17,1,217
2014-06-18,0,244
2014-06-19,0,249
2014-06-20,0,319
2014-06-21,0,245
2014-06-22,1,212
2014-06-23,0,221
2014-06-24,0,242
2014-06-25,1,273
2014-06-26,1,262
2014-06-27,0,253
2014-06-28,1,257
2014-06-29,1,243
2014-06-30,0,267
2014-07-01,1,242
2014-07-02,1,240
2014-07-03,1,234
2014-07-04,1,229
2014-07-05,1,257
2014-07-06,0,262
2014-07-07,0,254
2014-07-08,0,242
2014-07-09,0,244
2014-07-10,1,232
2014-07-11,1,232
2014-07-12,1,180
2014-07-13,1,217
2014-07-14,1,233
2014-07-15,1,243
2014-07-16,1,230
2014-07-17,1,221
2014-07-18,1,296
2014-07-19,1,246
2014-07-20,1,242
2014-07-21,1,241
2014-07-22,0,254
2014-07-23,0,254
2014-07-24,0,251
2014-07-25,0,302
2014-07-26,0,258
2014-07-27,1,225
2014-07-28,0,265
2014-07-29,0,271
2014-07-30,0,293
2014-07-31,1,275
2014-08-01,1,218
2014-08-02,1,217
2014-08-03,1,204
2014-08-04,0,252
2014-08-05,1,249
2014-08-06,1,227
2014-08-07,0,247
2014-08-08,1,256
2014-08-09,0,262
2014-08-10,1,248
2014-08-11,1,266
2014-08-12,1,199
2014-08-13,1,224
2014-08-14,1,254
2014-08-15,0,291
2014-08-16,1,240
2014-08-17,0,233
2014-08-18,0,219
2014-08-19,0,244
2014-08-20,0,301
2014-08-21,0,250
2014-08-22,0,264
2014-08-23,0,255
2014-08-24,0,221
2014-08-25,1,262
2014-08-26,1,231
2014-08-27,0,256
2014-08-28,1,270
