Date,Won,Crimes
2013-12-22,W,178.0
2013-12-23,W,197.0
2013-12-27,W,217.0
2013-12-28,W,212.0
2013-12-29,W,174.0
2013-12-31,L,235.0
2014-01-02,W,263.0
2014-01-03,L,258.0
2014-01-05,L,275.0
2014-01-06,W,250.0
2014-01-07,L,289.0
2014-01-08,W,306.0
2014-01-09,L-wo,288.0
2014-01-11,L,283.0
2014-01-12,L,257.0
2014-01-13,L,261.0
2014-01-14,L,227.0
2014-01-15,W,248.0
2014-01-16,W,246.0
2014-01-17,L,285.0
2014-01-19,L,177.0
2014-01-20,W,213.0
2014-01-21,L,265.0
2014-01-22,W,217.0
2014-01-24,L,258.0
2014-01-25,W,224.0
2014-01-26,L,211.0
2014-01-27,W,238.0
2014-01-28,L,215.0
2014-01-29,L,205.0
2014-01-30,L,237.0
2014-02-01,L,215.0
2014-02-02,W,186.0
2014-02-03,W,169.0
2014-02-04,W,235.0
2014-02-05,W,262.0
2014-02-06,L,267.0
2014-02-07,L,270.0
2014-02-08,L,216.0
2014-02-09,W,258.0
2014-02-11,W,179.0
2014-02-12,L,223.0
2014-02-19,L,221.0
2014-02-21,L,287.0
2014-02-22,L,228.0
2014-02-24,L,228.0
2014-02-26,W,216.0
2014-03-01,L,181.0
2014-03-04,W,253.0
2014-03-05,W,220.0
2014-03-06,L,300.0
2014-03-08,L,218.0
2014-03-09,L,281.0
2014-03-11,L,208.0
2014-03-12,W,216.0
2014-03-13,W,229.0
2014-03-14,L,241.0
2014-03-15,W,238.0
2014-03-16,L,240.0
2014-03-17,L,218.0
2014-03-18,W,225.0
2014-03-19,W,221.0
2014-03-21,L,272.0
2014-03-22,W,235.0
2014-03-24,L,258.0
2014-03-26,L,233.0
2014-03-27,W,271.0
2014-03-28,L,280.0
2014-03-29,W,216.0
2014-03-30,L,204.0
2014-03-31,L,240.0
2014-04-01,W,223.0
2014-04-02,W,228.0
2014-04-03,W,217.0
2014-04-04,L,281.0
2014-04-05,L,249.0
2014-04-06,L-wo,279.0
2014-04-09,L-wo,218.0
2014-04-11,W,246.0
2014-04-12,L,224.0
2014-04-13,L,219.0
2014-04-14,L,274.0
2014-04-15,L-wo,236.0
2014-04-16,W,215.0
2014-04-17,W,251.0
2014-04-18,L,270.0
2014-04-19,W,220.0
2014-04-20,W-wo,191.0
2014-04-21,L,241.0
2014-04-22,L,221.0
2014-04-23,W,223.0
2014-04-24,L,254.0
2014-04-25,W,261.0
2014-04-26,W,235.0
2014-04-27,L,223.0
2014-04-29,W,247.0
2014-05-01,L,172.0
2014-05-02,W,185.0
2014-05-03,L,233.0
2014-05-04,L,205.0
2014-05-07,W-wo,219.0
2014-05-08,L,248.0
2014-05-09,W-wo,305.0
2014-05-10,W,206.0
2014-05-11,L,221.0
2014-05-12,W,241.0
2014-05-13,L-wo,268.0
2014-05-14,W,281.0
2014-05-15,L-wo,279.0
2014-05-16,L,299.0
2014-05-17,L,275.0
2014-05-18,L,250.0
2014-05-20,L,300.0
2014-05-21,L,272.0
2014-05-22,L,272.0
2014-05-23,L-wo,284.0
2014-05-24,L-wo,246.0
2014-05-25,L,254.0
2014-05-26,W,208.0
2014-05-27,W,255.0
2014-05-28,W,248.0
2014-05-29,W-wo,263.0
2014-05-30,W-wo,319.0
2014-05-31,W,278.0
2014-06-02,L,230.0
2014-06-03,W,257.0
2014-06-04,L,199.0
2014-06-05,W-wo,259.0
2014-06-06,L,313.0
2014-06-07,L,214.0
2014-06-08,W,235.0
2014-06-09,W,280.0
2014-06-11,W,226.0
2014-06-12,W,221.0
2014-06-13,W,283.0
2014-06-14,L,256.0
2014-06-15,L,222.0
2014-06-16,W,248.0
2014-06-17,W,217.0
2014-06-18,W-wo,244.0
2014-06-19,L,249.0
2014-06-20,L,319.0
2014-06-21,L-wo,245.0
